"follow","〜（の後）に続く
〈指示・方針など〉
に従う",,,,,,,
"consider","〜を考慮する",,,,,,,
"increase","増える；〜を増やす",,,,,,,
"expect","〜を予期する",,,,,,,
"decide","〜することを決意する",,,,,,,
"develop","発達する;
〜を発達させる",,,,,,,
"provide","〜を供給する,
与える",,,,,,,
"continue","続く;
（〜を）続ける
（=go on，carry on）",,,,,,,
"include","〜を含む，含める",,,,,,,
"remain","〈ある状態の〉
ままでいる",,,,,,,
"reach","〜に着く
（=arrive at）;
〜に達する",,,,,,,
"allow","〜を許可する",,,,,,,
"force","〜を強制する",,,,,,,
"offer","〜を申し出る",,,,,,,
"realize","〜を悟る",,,,,,,
"require","〜を必要とする
（=need）",,,,,,,
"suggest","〜と提案する
〜をほのめかす",,,,,,,
"worry","心配する",,,,,,,
"wonder","（+wh/if節）
〜かと疑問に思う",,,,,,,
"cost","〈費用〉を要する",,,,,,,
"tend","（tend to V)
Vする傾向がある,
Vしがちである
",,,,,,,
"depend","（depend on A）
Aに依存する,
Aしだいで決まる",,,,,,,
"share","〜を分け合う,
共有する",,,,,,,
"demand","〜を要求する",,,,,,,
"support","〜を支持する
〈家族など〉を養う
〜を立証する",,,,,,,
"hire","〜を雇う",,,,,,,
"regard","（regard A as B)
AをBだと思う,
みなす",,,,,,,
"base","(A be based on B)
AがBに
基づいている",,,,,,,
"improve","〜を向上させる",,,,,,,
"recognize","〜を認める",,,,,,,
"notice","〜に気づく",,,,,,,
"suppose","〜だと思う",,,,,,,
"raise","〜を上げる
〜を育てる（=bring up)
〈問題など〉を提起する
［名］賃上げ(=pay raise)",,,,,,,
"prefer","〜をより好む",,,,,,,
"enter","〈場所・学校〉
に入る",,,,,,,
"suffer","〈苦痛・損害など〉
を経験する，受ける;
（病気などで）苦しむ",,,,,,,
"describe","〜を描写する,
〜の特徴を説明する",,,,,,,
"prevent","〜をさまたげる",,,,,,,
"reduce","〜を減らす",,,,,,,
"mistake","〜を誤解する,
まちがえる",,,,,,,
"prepare","（〜の）準備をする
（+for)",,,,,,,
"encourage","〈人を〉はげます",,,,,,,
"prove","〜だとわかる
(=turn out)
〜を証明する",,,,,,,
"join","〜に参加する
(=take part in)",,,,,,,
"treat","〜をあつかう",,,,,,,
"establish","〜を確立する,
設立する
(=found)",,,,,,,
"relate","関係がある",,,,,,,
"compare","〜を比較する
〜をたとえる",,,,,,,
"spread","〜を広げる;
広がる",,,,,,,
"refer","(refer to A)
Aを指示する",,,,,,,
